Start.time,Completion.time,Name,Age,Gender,Nationality,Employment.status,Duration.of.your.studies.in.Segovia.,Type.of.home.you.live.in.,Square.footage.of.the.property.,Number.of.roommates,Area.or.neighborhood.in.Segovia.where.you.live,Email,Duration of your lease,How long do you      expect to stay in your current residence?,How much do you pay monthly in your rental contract,"Which services and costs are included in the contract (internet, gas, water..)","Do you have any other service contracted (laundry, cleaning...) Please list them",What are the monthly cost of these services,Did you find the appartment thorugh a platform/portal/agency? ,Which one? ,What were the main difficulties you encountered when searching for housing?
1970-01-01 12:41:17.586123,45677.5885532407,,18,Woman,Belgium,Only studying,6 month,Rental with a private landlord,20m2,2,San Lorenzo,anonymous,Julio 2025,I will stay only as long as my studies last,1500,,"Manteinance, cleaning once a week and information",100,,Friend,
1970-01-01 12:41:17.577187,45675.9668410318,,20,Woman,Mexico,Studying and working ,2 years,Rental with a private landlord,15,0,Acueduxy,,10 months,I will stay only as long as my studies last,400,All foo,"Full Board, bedroom cleaning, bed linen and towel laundry service",NA,,Vizcaínos idealista,Availability;High prices;
1970-01-01 12:41:17.548021,45676.9923011733,,20,Man,India,Only studying,2 years,Student residence ,80m2,0,San Lorenzo,,1 year,I will stay only as long as my studies last,1200,all,Cleaning and manteinance,-,No,Sogeima,Availability;
1970-01-01 12:41:13.691042,45676.787209145,,18,Woman,France,Only studying,1 year,Rental with a private landlord,95,3,Acueduct,anonymous,Año académico.,I will stay only as long as my studies last,900,All foo,Everything included,-,,IE,High prices;None met my expectations;
1970-01-01 12:40:15.784826,45662.8409512193,,21,Woman,Ecuador,Only studying,2 years,Family home ,20m2,5,San Lorenzo,,Study year,I will stay only as long as my studies last,590,Wi-Fi water everything,Everything even healthcare,laundry for 25€,,,
1970-01-01 12:40:11.788356,45627.1549382916,,20,Man,Canada,Only studying,1 year,Family home ,160,0,Acueduct,,1 curso académico,I will move to another residence for the duration of my studies.,1100,Internet agua electricidad,All,Included,No,Te tal Agency,Availability;
1970-01-01 12:41:17.517894,45673.0955526353,,18,Woman,France,Only studying,4 years,Rental with a private landlord,105,1,Center (San Nicolás),,Ayuden year,I will stay only as long as my studies last,590,All,weekly cleaning and optional laundry,50€ each full cleaning manteinance included,Yes,Te tal Agency,High prices;
1970-01-01 12:41:11.462384,45677.5885532407,,20,Man,Danish,Only studying,9 month,Student residence ,20m2,0,"Residencia al lado,  center",anonymous,Julio 2025,I will move to another residence for the duration of my studies.,900,all,"Full Board, bedroom cleaning, bed linen and towel laundry service",included,,Beyond IE,NA;
1970-01-01 12:41:11.462384,45668.7886200406,,20,Woman,Italy,Only studying,2y,Student residence ,12m2,5,Center,anonymous,6 month,I will stay only as long as my studies last,1050,yes,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",laundry for 25€,Yes,Ie,Availability;
1970-01-01 12:41:17.577187,45661.6103990494,,19,Woman,Canada,Only studying,2 year,Rental with a company,20m2,2,Center,,9  months,I will stay only as long as my studies last,1200,Wi-Fi water everything,"Daily cleaning, laundry, full board and parking",NA,,IE,High prices;Availability;
1970-01-01 12:41:06.52463,45677.5885532407,,18,Woman,Us,Only studying,2 years,Rental with a company,50m2,3,Center,anonymous,1 year,I will move to another residence for the duration of my studies.,1300,No,"all included, cleaning, full board, manteinance, bed linen and towels laundry",NA,No,Betina camous,High prices;Availability;
1970-01-01 12:41:06.482535,45673.5057366919,,18,Man,Belgium,Studying and working ,4 years,Student residence ,150,1,Calle Juan bravo,anonymous,10 mints academic year,I will stay only as long as my studies last,1400,Gas electric unit,Food cleaning (Cara),laundry for 25€,No,Vizcaínos idealista,
1970-01-01 12:41:06.51912,45672.0700924937,,18,Man,El Salvador,Only studying,4 years,Rental with a private landlord,200m2,5,San Facundo,,Ayuden year,I will move to another residence for the duration of my studies.,960,All foo,Laundry and cleaning,-,,Vizcaínos idealista,
1970-01-01 12:41:17.58191,45618.3359810739,,20,Woman,Italy,Only studying,1 year,Rental with a company,20,5,Center,anonymous,,I will move to another residence for the duration of my studies.,875,Everything,manteinance and cleaning,50€ each full cleaning manteinance included,,Inn family,Availability;High prices;
1970-01-01 12:40:29.814005,45672.275184522,,18,Man,Egypt,Only studying,9 months,Rental with a private landlord,20m2,3,Acueduct,,6 month,I will stay only as long as my studies last,900,Full board,No,-,Yes,vizcainos,High prices;Availability;
1970-01-01 12:41:17.550949,45675.1464729185,,18,Woman,Hungría,Only studying,2 years,Family home ,80m2,1,Factory,anonymous,Julio 2025,I will stay only as long as my studies last,875,Yes,50!yhree montha,included,,Friend,High prices;Availability;
1970-01-01 12:41:06.493299,45673.9159207486,,21,Man,India,Only studying,6 months,Student residence ,200m2,0,Acueduct,,Ayuden year,I will stay only as long as my studies last,1500,Wi-Fi water everything,"Full Board, bed linen and towel laundry service",NA,,Beyind campos,NA;
1970-01-01 12:41:17.517894,45672.0700924937,,22,Woman,Phillipines,Only studying,2 year,Student residence ,95,2,Plaza mayor,anonymous,1 year study,I will move to another residence for the duration of my studies.,400,Yes,Cleaning and food (media pensión),,No,IE,
1970-01-01 12:40:15.778484,45671.8650004654,,22,Man,El Salvador,Only studying,6 month,Rental with a private landlord,20m2,3,Center,,10 months,I will move to another residence for the duration of my studies.,590,No,1100 limpieza y comida,,Yes,Inn family,High prices;None met my expectations;
1970-01-01 12:41:11.461725,45665.5071475874,,20,Woman,French lebanese,Only studying,2 year,Rental with a company,50m2,2,Plaza mayor,anonymous,,I will stay only as long as my studies last,1350,Internet agua electricidad,"Full Board, weekly bed linen and towel laundry service and cleaning",-,,beyond campus,High prices;None met my expectations;
1970-01-01 12:41:12.497361,45672.4802765503,,20,Man,Brazil,Only studying,1 semester,Rental with a private landlord,200m2,0,On campus,,6 month,I will move to another residence for the duration of my studies.,1500,All foo,"towel and bed linen laundry, breakfast, lunch and dinner",-,No,Housing platform (dont remember name),
1970-01-01 12:41:17.577187,45668.9937120689,,22,Man,USA,Only studying,4 years,Rental with a company,10m2,0,Center,,6 months,I will stay only as long as my studies last,1880,,cleaning and maintenance,Included,No,Idelaista,High prices;None met my expectations;
1970-01-01 12:41:17.535648,45675.1464729185,,22,Man,Spain,Only studying,2 year,Rental with a private landlord,80,1,Berber denporreros,,1 academic year,I will stay only as long as my studies last,590,Internet agua electricidad,No,included,,beyond campus,High prices;
1970-01-01 12:41:06.50912,45674.5311968335,,20,Woman,USA,Only studying,4 years,Rental with a company,60m2,4,Center,,Julio 2025,I will move to another residence for the duration of my studies.,700,Wi-Fi water everything,Cleaning Laundry,100,Yes,Beyond ie,High prices;
1970-01-01 12:41:17.55934,45671.0446323521,,19,Man,Italy,Only studying,6 months,Rental with a private landlord,80,4,Acueduxt San lorenzo,anonymous,6 months,I will stay only as long as my studies last,960,Wi-Fi water everything,"Full Board, weekly bed linen and towel laundry service and cleaning",laundry for 25€,Yes,Strident houses,Availability;
1970-01-01 12:41:17.525359,45677.5885532407,,19,Woman,Lebanese,Only studying,2 years,Family home ,100m2,2,Villaroma,,9 month,I will stay only as long as my studies last,875,No,All cleaning food,NA,Yes,Beyond ie,NA;
1970-01-01 12:41:06.493299,45668.9937120689,,20,Man,India,Only studying,9 months,Student residence ,50m2,4,Center,anonymous,9  months,I will move to another residence for the duration of my studies.,,Internet agua electricidad,"Daily cleaning, laundry, full board and parking",Included,,beyond campus,High prices;None met my expectations;
1970-01-01 12:40:29.814005,45677.5885532407,,19,Man,Brazil,Only studying,4 years,Student residence ,75m,0,Acueducto,anonymous,Academics year,I will move to another residence for the duration of my studies.,750,No,All,NA,Yes,Beyond IE,Availability;
1970-01-01 12:41:17.58397,45677.5885532407,,20,Woman,Moldovan,Only studying,2 year,Rental with a private landlord,50m2,1,San Nicolás,,5 months,I will move to another residence for the duration of my studies.,730,Everything,"Full Board, bedroom cleaning, bed linen and towel laundry service",Included,Yes,Strident houses,High prices;
1970-01-01 12:40:18.890069,45661.2002149927,,18,Man,Ireland,Only studying,2 year,Student residence ,Studio,2,Center,anonymous,Ayuden year,I will move to another residence for the duration of my studies.,590,Wi-Fi water everything,Cleaning once a week,included,No,Idelaista,Availability;
1970-01-01 12:41:17.543866,45677.5885532407,,18,Woman,Italy,Only studying,2 year,Family home ,120,5,San Lorenzo,anonymous,9 months,I will move to another residence for the duration of my studies.,1880,all,Food cleaning (Cara),100,No,Beyond ie,High prices;Availability;
1970-01-01 12:41:06.498611,45677.5885532407,,18,Man,Italian,Only studying,6 months,Student residence ,110,0,San Lorenzo,,Año académico.,I will stay only as long as my studies last,875,Gas electric unit,"Full Board, weekly bed linen and towel laundry service and cleaning",100,,Housing platform (dont remember name),
1970-01-01 12:41:17.540301,45672.890460607,,18,Woman,El Salvador,Only studying,6 month,Rental with a private landlord,80,0,Villaroma,anonymous,,I will move to another residence for the duration of my studies.,730,All foo,Limpieza opcional,included,Yes,Friend,Availability;High prices;
1970-01-01 12:40:14.323403,45644.5877606988,,18,Man,Hungary,Only studying,9 months,Rental with a company,12m2,0,San Lorenzo,,10 month,I will stay only as long as my studies last,1000,all,"Full Board, bed linen and towel laundry service",laundry for 25€,No,Beyond camous,Availability;
1970-01-01 12:41:17.529201,45672.4802765503,,19,Woman,Hungary,Only studying,1 semester,Student residence ,100,0,Plaza mayor,,6 month,I will move to another residence for the duration of my studies.,500,,All cleaning food,Included,No,Strident houses,High prices;Availability;
1970-01-01 12:40:45.428924,45668.9937120689,,21,Man,USA,Only studying,2 years,Rental with a company,80,1,Villaroma,,10 months,I will stay only as long as my studies last,1050,yes,1100 limpieza y comida,laundry for 25€,No,Friend,
1970-01-01 12:41:17.543866,45626.3345701783,,20,Woman,Georgia,Only studying,1 year a half,Rental with a private landlord,Studio,2,center,anonymous,1 year study,I will move to another residence for the duration of my studies.,730,All,"Daily cleaning, laundry, full board and parking",Included,No,Beyond IE,High prices;None met my expectations;
1970-01-01 12:40:18.883924,45660.1747548511,,18,Woman,Ecuador,Only studying,2 years,Student residence ,120,0,Acueducto,anonymous,9 month,I will stay only as long as my studies last,875,All foo,,50€ each full cleaning manteinance included,Yes,IE,
1970-01-01 12:40:18.890069,45672.890460607,,19,Man,USA,Only studying,6 month,Rental with a private landlord,15,1,Villaroma,anonymous,1 year study,I will stay only as long as my studies last,750,Everything,All but cleaning,,Yes,beyond ie,Availability;
1970-01-01 12:41:17.535648,45674.3261048052,,20,Man,Española,Only studying,2 yesrs,Student residence ,20m2,0,Villaroma,,9  months,I will stay only as long as my studies last,650,Full board,None,Included,,beyond campus,Availability;
1970-01-01 12:41:12.491157,45663.0460432476,,18,Woman,USA,Only studying,9 months,Rental with a private landlord,80,2,Berber denporreros,,5 months,I will stay only as long as my studies last,,all,Dios me al laundry,laundry for 25€,,Idelaista,High prices;Availability;
1970-01-01 12:41:12.497361,45667.147883814,,20,Man,Canada,Only studying,6 month,Rental with a company,110,5,center,anonymous,1 year study,I will stay only as long as my studies last,1200,,Breakfast cleaning gym,NA,No,Beyond ie,High prices;None met my expectations;
1970-01-01 12:41:17.540301,45621.2072694703,,18,Woman,Ecuador,Only studying,9 months,Student residence ,60m2,0,Plaza mayor,,5 months,I will stay only as long as my studies last,875,Internet agua electricidad,cleaning and maintenance,50€ each full cleaning manteinance included,,beyond campus,High prices;None met my expectations;
1970-01-01 12:41:06.476806,45631.256778858,,18,Prefer not to say,Lebanese,Only studying,2,Rental with a private landlord,30m2,3,Center,,Año académico.,I will stay only as long as my studies last,275,Wi-Fi water everything,"towel and bed linen laundry, breakfast, lunch and dinner",NA,,Beyond camous,NA;
1970-01-01 12:41:17.578461,45666.532607729,,20,Woman,Colmbia,Only studying,2 years,Rental with a company,10,0,Center,anonymous,6 month,I will stay only as long as my studies last,1500,Gas electric unit,Dios me al laundry,Included,Yes,Uniplaces,
1970-01-01 12:41:06.482535,45668.5835280122,,18,Man,Argentina,Only studying,2 yeas,Rental with a company,20,0,Acueduct,,9 months,I will move to another residence for the duration of my studies.,,All,Everything even healthcare,laundry for 25€,Yes,IE,NA;
1970-01-01 12:41:06.513125,45672.6853685786,,19,Woman,Italian,Only studying,9 months,Student residence ,20m2,5,Plaza Mayor,,1 year study,I will move to another residence for the duration of my studies.,900,All,"all included, cleaning, full board, manteinance, bed linen and towels laundry",included,No,Inn family,High prices;Availability;
,45677.5885532407,,18,Woman,Luxembourgh,Only studying,2 years,Rental with a private landlord,90,1,San Lorenzo,,Ayuden year,I will move to another residence for the duration of my studies.,1500,Full board,Food cleaning (Cara),NA,No,Beyind campos,High prices;Availability;
1970-01-01 12:41:17.517894,45644.5877606988,,20,Man,USA,Only studying,9 months,Rental with a private landlord,110,5,On campus,,Academics year,I will stay only as long as my studies last,,No,Cleaning,laundry for 25€,,Beyond IE,High prices;
1970-01-01 12:41:17.517894,45671.659908437,,20,Man,Germany,Only studying,2 year,Student residence ,Studio,1,On campus,anonymous,9 months,I will move to another residence for the duration of my studies.,820,Gas electric unit,"Daily cleaning, laundry, full board and parking",50€ each full cleaning manteinance included,No,Inn family,High prices;Availability;
1970-01-01 12:40:29.810937,45670.4293562671,,18,Woman,Lebanon,Only studying,2 years,Rental with a company,50m2,2,Center,anonymous,,I will move to another residence for the duration of my studies.,1300,all,"towel and bed linen laundry, breakfast, lunch and dinner",50€ each full cleaning manteinance included,Yes,beyond campus,High prices;
1970-01-01 12:41:06.52463,45666.532607729,,19,Man,USA,Only studying,1 semester,Rental with a company,20m2,2,Acueduct,,6 months,I will stay only as long as my studies last,275,Internet agua electricidad,Cleaning Laundry,-,No,Housing platform (dont remember name),Availability;
1970-01-01 12:40:18.890069,45675.5566569751,,18,Woman,Lebanese,Only studying,9 months,Rental with a private landlord,300m2,4,San Lorenzo,anonymous,Academics year,I will stay only as long as my studies last,1500,yes,50!yhree montha,NA,Yes,Beyond campus,High prices;None met my expectations;
1970-01-01 12:41:06.491644,45625.9243861217,,19,Man,Phillipines,Only studying,4 years,Student residence ,300m2,2,San Lorenzo,anonymous,,I will move to another residence for the duration of my studies.,650,Wi-Fi water everything,Food cleaning (Cara),Included,,Beyind campos,Availability;High prices;
1970-01-01 12:41:17.578461,45677.5885532407,,19,Woman,El Salvador,Only studying,1 year a half,Student residence ,80,2,San Lorenzo,,Academic year,I will stay only as long as my studies last,1000,Internet agua electricidad,"all included, cleaning, full board, manteinance, bed linen and towels laundry",100,No,Friend,Availability;High prices;
1970-01-01 12:40:23.657188,45657.9187425396,,20,Woman,India,Only studying,1 semester,Rental with a private landlord,300m2,0,Villaroma,anonymous,Ayuden year,I will move to another residence for the duration of my studies.,730,Gas electric unit,"Full Board, bedroom cleaning, bed linen and towel laundry service",100,No,beyond campus,High prices;Availability;
1970-01-01 12:40:18.885683,45671.659908437,,18,Man,Ireland,Only studying,1 semester,Rental with a private landlord,20m2,5,Center,,Ayuden year,I will stay only as long as my studies last,400,Gas electric unit,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",Included,,Sogeima,
1970-01-01 12:40:18.885683,45666.3275157007,,19,Man,Brazil,Only studying,2 year,Rental with a private landlord,147,4,Center,,Academics year,I will move to another residence for the duration of my studies.,750,Gas electric unit,Everything included,,,vizcainos,
1970-01-01 12:40:29.810937,45664.4816874458,,18,Prefer not to say,Portuguese,Only studying,6 months,Rental with a private landlord,20m2,0,Acueduxt San lorenzo,anonymous,6 months,I will stay only as long as my studies last,1500,Wi-Fi water everything,"Full Board, bed linen and towel laundry service",50€ each full cleaning manteinance included,Yes,Strident houses,
1970-01-01 12:41:06.51912,45664.8918715025,,19,Woman,French lebanese,Only studying,9 months,Rental with a private landlord,85 70,5,Center,,10 months,I will stay only as long as my studies last,590,Internet agua electricidad,"towel and bed linen laundry, breakfast, lunch and dinner",Included,Yes,Beyond IE,Availability;
1970-01-01 12:41:17.58191,45656.893282398,,20,Woman,Argentina,Only studying,1 year,Student residence ,120,1,Center,anonymous,5 months,I will move to another residence for the duration of my studies.,1100,All,Cleaning,100,No,Uniplaces,
1970-01-01 12:41:06.513125,45667.5580678706,,20,Woman,Belgium,Only studying,4 years,Rental with a private landlord,300,5,Center,,9  months,I will move to another residence for the duration of my studies.,500,All foo,Cleaning Laundry,-,Yes,Beyond IE,Availability;High prices;
1970-01-01 12:41:06.52463,45677.5885532407,,22,Man,Ecuador,Only studying,1 year a half,Rental with a private landlord,30m2,1,center,anonymous,9  months,I will move to another residence for the duration of my studies.,1250,all,"towel and bed linen laundry, breakfast, lunch and dinner",laundry for 25€,,Ie,
1970-01-01 12:41:17.529201,45665.7122396158,,18,Woman,Colombia,Only studying,2 yeas,Rental with a private landlord,120,2,San Lorenzo,anonymous,9 months,I will stay only as long as my studies last,1880,Full board,Cleaning,,No,Idealista,Availability;
,45675.3515649468,,18,Woman,Philippines,Only studying,4 years,Rental with a company,80m2,1,Center,anonymous,1 curso académico,I will stay only as long as my studies last,900,All foo,cleaning and maintenance,100,Yes,Betina camous,Availability;High prices;
1970-01-01 12:41:11.461725,45677.5885532407,,20,Man,Brazil,Only studying,1 year a half,Rental with a private landlord,75m,5,Center,,5 months,I will stay only as long as my studies last,650,Full board,"Full Board, bedroom cleaning, bed linen and towel laundry service",Included,,beyond campus,High prices;
1970-01-01 12:41:17.564988,45672.6853685786,,19,Man,Egypt,Only studying,1 year,Student residence ,300,3,Calle Juan bravo,anonymous,Study year,I will stay only as long as my studies last,650,Full board,No,-,,Beyond campus,
1970-01-01 12:40:29.810937,45671.4548164087,,18,Woman,USA,Only studying,6 month,Rental with a private landlord,12m2,5,On campus,anonymous,5 months,I will stay only as long as my studies last,1250,No,manteinance and cleaning,50€ each full cleaning manteinance included,,beyond ie,Availability;High prices;
1970-01-01 12:41:17.578461,45627.9753064049,,18,Man,Italy,Only studying,2 year,Student residence ,300m2,2,On campus,anonymous,Academics year,I will stay only as long as my studies last,400,No,Everything even healthcare,Included,No,Beyond campus,
1970-01-01 12:41:17.58191,45615.4646926774,,18,Man,Colombia,Only studying,6 month,Student residence ,300m2,1,Center,anonymous,Academics year,I will stay only as long as my studies last,1400,All foo,Cleaning,included,,Betina camous,
1970-01-01 12:40:45.428924,45626.744754235,,20,Woman,Argentina,Only studying,1 semester,Rental with a company,160,0,Villaroma,,9 months,I will stay only as long as my studies last,1400,Everything,Cleaning once a week,-,,Inn family,Availability;
1970-01-01 12:41:17.529201,45677.5885532407,,19,Man,Hungary,Only studying,9 months,Rental with a private landlord,50m2,0,San Lorenzo,,6 months,I will move to another residence for the duration of my studies.,1150,Wi-Fi water everything,manteinance and cleaning,Included,,Beyond IE,High prices;None met my expectations;
1970-01-01 12:40:29.814005,45677.5885532407,,19,Woman,Spain,Only studying,2 years,Rental with a private landlord,100,2,Center,anonymous,6 month,I will move to another residence for the duration of my studies.,500,No,manteinance and cleaning,included,Yes,Inn family,NA;
1970-01-01 12:41:06.52463,45677.5885532407,,22,Woman,Colombia,Studying and working ,2 years,Rental with a private landlord,95,0,Center,anonymous,10 months,I will move to another residence for the duration of my studies.,730,all,50!yhree montha,-,Yes,Inn family,High prices;Availability;
1970-01-01 12:41:17.577187,45669.1988040972,,18,Woman,Mexico,Only studying,2,Rental with a company,50m2,5,Calle Juan bravo,anonymous,,I will stay only as long as my studies last,750,Yes,Food cleaning (Cara),NA,,Inn family,High prices;Availability;
1970-01-01 12:41:06.52463,45675.9668410318,,20,Man,Brazil,Only studying,1 year a half,Rental with a private landlord,10m2,0,Acueduxt San lorenzo,anonymous,10 mints academic year,I will stay only as long as my studies last,,All foo,Cleaning,included,,,High prices;
1970-01-01 12:40:18.885683,45671.8650004654,,18,Woman,Danish,Only studying,2 years,Student residence ,100,0,San Lorenzo,,1 year study,I will stay only as long as my studies last,1350,All,"Full Board, bed linen and towel laundry service",included,No,IE,NA;
1970-01-01 12:41:06.52463,45663.6613193326,,18,Man,Brazil,Only studying,2 year,Rental with a private landlord,50m2,0,Factory,anonymous,10 months,I will move to another residence for the duration of my studies.,1200,yes,Breakfast cleaning gym,NA,,Te tal Agency,Availability;High prices;
1970-01-01 12:41:06.513125,45611.7920601852,,18,Woman,Germany,Only studying,2 year,Student residence ,100m2,0,Acueduct,,Study year,I will move to another residence for the duration of my studies.,650,Yes,All but cleaning,Included,Yes,Friend,High prices;Availability;
1970-01-01 12:41:06.52463,45677.5885532407,,21,Man,Phillipines,Only studying,2 years,Rental with a private landlord,60m2,4,Acueduct,anonymous,1 academic year,I will stay only as long as my studies last,875,Wi-Fi water everything,Brwkfast and dinner,50€ each full cleaning manteinance included,Yes,Beyind campos,
1970-01-01 12:41:12.491157,45677.5885532407,,20,Woman,India,Only studying,2 años,Rental with a private landlord,Studio,2,San Lorenzo,anonymous,6 months,I will stay only as long as my studies last,700,Full board,Brwkfast and dinner,included,Yes,Friend,Availability;High prices;
1970-01-01 12:41:06.493299,45677.5885532407,,19,Man,Colombia,Only studying,2 yeas,Rental with a private landlord,80,2,On campus,anonymous,Academic year,I will stay only as long as my studies last,1300,No,Dios me al laundry,-,Yes,Strident houses,NA;
1970-01-01 12:41:06.51912,45675.3515649468,,20,Man,Brazil,Only studying,2 years,Rental with a private landlord,147,2,center,,Año académico.,I will move to another residence for the duration of my studies.,1150,Internet agua electricidad,Everything even healthcare,-,Yes,Housing platform (dont remember name),NA;
1970-01-01 12:40:23.657188,45623.8734658385,,20,Man,Germany,Only studying,4 years,Rental with a private landlord,95,2,Center,anonymous,Ayuden year,I will stay only as long as my studies last,1540,Everything,"Full Board, weekly bed linen and towel laundry service and cleaning",,,Beyond campus,Availability;High prices;
1970-01-01 12:41:17.524005,45668.3784359839,,20,Man,Ecuador,Only studying,1 semester,Rental with a private landlord,20,3,Center,,5 months,I will move to another residence for the duration of my studies.,500,Internet agua electricidad,manteinance and cleaning,50€ each full cleaning manteinance included,No,Ie,NA;
1970-01-01 12:41:12.497361,45672.0700924937,,21,Prefer not to say,Danish,Only studying,9 month,Rental with a private landlord,20m2,1,San Lorenzo,anonymous,,I will stay only as long as my studies last,1100,all,Brwkfast and dinner,NA,No,beyond campus,High prices;Availability;
1970-01-01 12:41:06.513125,45673.9159207486,,18,Man,Spain,Only studying,1 year a half,Rental with a company,Studio,2,Center,,9  months,I will stay only as long as my studies last,650,Everything,Cleaning once a week,50€ each full cleaning manteinance included,,Inn family,High prices;None met my expectations;
1970-01-01 12:41:06.476806,45677.5885532407,,19,Man,Egypt,Only studying,4 years,Student residence ,160,0,center,,10 month,I will stay only as long as my studies last,1350,No,"Full Board, daily bedroom cleaning, weekly bed linen and towel laundry service",-,Yes,,NA;
1970-01-01 12:41:17.543866,45670.4293562671,,18,Man,Italy,Only studying,9 month,Rental with a company,60m2,1,On campus,anonymous,9  months,I will stay only as long as my studies last,960,,No,-,Yes,Vizcaínos idealista,High prices;
1970-01-01 12:40:18.883924,45624.0785578668,,18,Woman,Phillipines,Only studying,2 yeas,Student residence ,12m2,0,Acueduxt San lorenzo,,5 months,I will stay only as long as my studies last,1200,All,"Manteinance, cleaning once a week and information",included,,,Availability;High prices;
1970-01-01 12:41:06.52463,45675.3515649468,,20,Man,USA,Only studying,2 years,Rental with a company,20m2,1,Center,anonymous,6 months,I will move to another residence for the duration of my studies.,1540,yes,1100 limpieza y comida,,Yes,Te tal Agency,High prices;
1970-01-01 12:40:11.788356,45671.8650004654,,20,Man,USA,Only studying,1 year a half,Rental with a company,300m2,4,Center,,5 months,I will move to another residence for the duration of my studies.,1500,Wi-Fi water everything,"Manteinance, cleaning once a week and information",,,Inn family,Availability;High prices;
1970-01-01 12:41:06.52463,45676.787209145,,19,Woman,Spain,Only studying,2 year,Rental with a private landlord,80,5,San Lorenzo,,Ayuden year,I will stay only as long as my studies last,650,yes,weekly cleaning and optional laundry,50€ each full cleaning manteinance included,,Betina camous,NA;
1970-01-01 12:41:17.525359,45676.5821171167,,19,Woman,Phillipines,Only studying,2 years,Rental with a private landlord,147,2,Berber denporreros,,Año académico.,I will move to another residence for the duration of my studies.,1100,Full board,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",Included,,Beyond campus,High prices;
1970-01-01 12:41:17.55934,45667.147883814,,19,Woman,Italy,Only studying,2 yeas,Rental with a private landlord,120,5,San Lorenzo,,10 month,I will stay only as long as my studies last,1200,Internet agua electricidad,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",included,,Housing platform (dont remember name),NA;
1970-01-01 12:41:06.48375,45661.6103990494,,18,Woman,Egypt,Only studying,2 yesrs,Student residence ,10,2,Center,,5 months,I will stay only as long as my studies last,1400,All foo,"Full Board, daily bedroom cleaning, weekly bed linen and towel laundry service",Included,Yes,Strident houses,High prices;None met my expectations;
1970-01-01 12:41:11.461725,45647.6641411236,,22,Man,Italy,Only studying,2 year,Rental with a company,15,0,On campus,,1 academic year,I will stay only as long as my studies last,500,yes,Breakfast cleaning gym,Included,No,,
1970-01-01 12:41:06.52463,45633.7178831979,,20,Woman,Italy,Only studying,2 yeas,Rental with a private landlord,Studio,3,San Lorenzo,,Año académico.,I will move to another residence for the duration of my studies.,1100,yes,"Manteinance, cleaning once a week and information",100,No,Idealista,NA;
1970-01-01 12:41:06.52463,45677.5885532407,,18,Man,India,Only studying,2 year,Rental with a private landlord,100m2,0,center,,Academic year,I will stay only as long as my studies last,900,Gas electric unit,"towel and bed linen laundry, breakfast, lunch and dinner",NA,,beyond ie,Availability;
1970-01-01 12:41:06.498611,45677.5885532407,,19,Woman,El Salvador,Only studying,2 year,Student residence ,100,0,Acueducto,anonymous,10 month,I will stay only as long as my studies last,1880,yes,All but cleaning,-,Yes,Idelaista,NA;
1970-01-01 12:40:18.885683,45641.1011962174,,22,Woman,Hungary,Only studying,6 months,Rental with a private landlord,80,5,Center,anonymous,Julio 2025,I will move to another residence for the duration of my studies.,650,all,"Full Board, bedroom cleaning, bed linen and towel laundry service",-,No,Beyond campus,NA;
1970-01-01 12:41:17.578461,45666.9427917857,,18,Woman,Moldovan,Only studying,1 year a half,Rental with a private landlord,75m,5,Center,,Año académico.,I will stay only as long as my studies last,1250,,"Manteinance, cleaning once a week and information",Included,No,Beyond camous,High prices;
1970-01-01 12:41:06.52463,45677.5885532407,,19,Man,Brazil,Only studying,4 years,Student residence ,300m2,0,Center (San Nicolás),,6 month,I will move to another residence for the duration of my studies.,1540,Full board,Cleaning and food (media pensión),included,,beyond ie,Availability;
1970-01-01 12:41:17.524005,45671.8650004654,,20,Man,Italian,Only studying,2 yeats,Rental with a private landlord,300,1,On campus,anonymous,6 month,I will move to another residence for the duration of my studies.,1100,All,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",Included,No,Beyond IE,
1970-01-01 12:41:06.493299,45675.1464729185,,18,Man,Portuguese,Only studying,2,Rental with a private landlord,105,0,Factory,anonymous,Academics year,I will move to another residence for the duration of my studies.,1000,Gas electric unit,Brwkfast and dinner,included,,Sogeima,Availability;
1970-01-01 12:40:18.883924,45667.9682519273,,18,Woman,Egypt,Only studying,9 months,Rental with a company,110,0,San Lorenzo,,6 month,I will stay only as long as my studies last,960,,"Daily cleaning, laundry, full board and parking",included,Yes,Beyond IE,
1970-01-01 12:41:17.56162,45661.6103990494,,19,Man,Italy,Only studying,1 year a half,Rental with a private landlord,20m2,2,San Nicolás,anonymous,5 months,I will move to another residence for the duration of my studies.,1100,No,Laundry and cleaning,-,Yes,beyond ie,NA;
1970-01-01 12:41:11.462384,45667.3529758423,,18,Woman,Georgia,Only studying,6 months,Student residence ,Studio,0,Acueducto,anonymous,6 month,I will stay only as long as my studies last,,all,Cleaning and manteinance,-,,Vizcaínos idealista,High prices;None met my expectations;
1970-01-01 12:41:12.488113,45666.532607729,,20,Man,USA,Only studying,6 month,Student residence ,100,2,Center,,1 academic year,I will stay only as long as my studies last,1540,Everything,Dios me al laundry,Included,,Beyond ie,NA;
